,DATE,BTC_OPEN,ETH_OPEN
0,2021-01-21,35482.97,1378.26
1,2021-01-20,35927.02,1367.07
2,2021-01-19,36623.2,1258.06
3,2021-01-18,35823.85,1231.77
4,2021-01-17,36001.8,1227.82
5,2021-01-16,36011.11,1228.23
6,2021-01-16,36757.87,1169.97
7,2021-01-15,36745.86,1169.49
8,2021-01-15,39156.0,1231.42
9,2021-01-14,39158.76,1232.16
10,2021-01-14,37369.24,1129.87
11,2021-01-13,37369.24,1128.9
12,2021-01-13,34050.3,1050.31
13,2021-01-12,34063.09,1051.52
14,2021-01-12,35410.26,1086.83
15,2021-01-11,38181.9,1254.0
16,2021-01-10,38181.9,1254.0
17,2021-01-10,40093.11,1276.15
18,2021-01-09,40091.11,1276.15
19,2021-01-09,40594.55,1216.62
20,2021-01-08,40600.0,1217.73
21,2021-01-08,39426.45,1224.94
22,2021-01-07,39430.39,1224.81
23,2021-01-07,36780.0,1207.61
24,2021-01-06,36755.12,1207.88
25,2021-01-06,33966.57,1099.89
26,2021-01-05,33945.29,1100.22
27,2021-01-05,32004.62,1040.99
28,2021-01-04,31996.27,1042.59
29,2021-01-04,33026.03,978.38
30,2021-01-03,33012.98,977.82
31,2021-01-03,32202.55,774.85
32,2021-01-02,32184.51,774.93
33,2021-01-02,29322.32,728.62
34,2021-01-01,29330.14,728.23
35,2021-01-01,28917.9,736.21
36,2020-12-31,28920.33,735.97
37,2020-12-31,28886.28,752.02
38,2020-12-30,28884.25,752.01
39,2020-12-30,27370.0,732.77
40,2020-12-29,27370.0,732.25
41,2020-12-29,27072.6,731.04
42,2020-12-28,27076.18,730.5
43,2020-12-28,26288.74,685.35
44,2020-12-27,26289.03,684.69
45,2020-12-27,26457.13,637.76
46,2020-12-26,26449.62,636.34
47,2020-12-26,24712.37,626.94
48,2020-12-25,24690.6,626.71
49,2020-12-25,23750.24,612.58
50,2020-12-24,23738.86,612.43
51,2020-12-24,23235.17,585.33
52,2020-12-23,23235.17,585.89
53,2020-12-23,23810.95,636.7
54,2020-12-22,23808.33,636.98
55,2020-12-22,22727.09,608.93
56,2020-12-21,22713.86,608.0
57,2020-12-21,23466.4,637.79
58,2020-12-20,23488.58,638.4
59,2020-12-20,23827.5,658.16
60,2020-12-19,23821.7,658.89
61,2020-12-19,23110.0,654.32
62,2020-12-18,23102.47,653.61
63,2020-12-18,22800.54,643.08
64,2020-12-17,22800.29,643.18
65,2020-12-17,21327.99,637.32
66,2020-12-16,19423.38,588.7
67,2020-12-15,19277.22,586.65
68,2020-12-14,19159.51,590.67
69,2020-12-13,18802.55,569.22
70,2020-12-12,18025.82,543.69
71,2020-12-11,18240.72,558.58
72,2020-12-10,18539.38,574.58
73,2020-12-09,18319.96,554.0
74,2020-12-08,19176.93,590.86
75,2020-12-07,19365.75,602.22
76,2020-12-06,19149.14,597.05
77,2020-12-05,18650.0,567.21
78,2020-12-04,19418.11,615.24
79,2020-12-03,19203.86,597.0
80,2020-12-02,18762.94,585.0
81,2020-12-01,19695.51,616.66
82,2020-11-30,18175.44,576.2
83,2020-11-29,17712.9,537.87
84,2020-11-28,17139.82,518.72
85,2020-11-27,17146.02,520.0
86,2020-11-26,18725.39,570.07
87,2020-11-25,19151.64,604.98
88,2020-11-24,18367.96,608.81
89,2020-11-23,18412.02,560.53
90,2020-11-22,18704.99,552.66
91,2020-11-21,18668.64,509.84
92,2020-11-20,17797.08,471.42
93,2020-11-19,17778.24,478.17
94,2020-11-18,17652.77,482.39
95,2020-11-17,16711.46,460.15
96,2020-11-16,15947.27,448.36
97,2020-11-15,16060.8,460.64
98,2020-11-14,16319.49,476.49
99,2020-11-13,16292.96,462.29
100,2020-11-12,15686.8,463.82
101,2020-11-11,15303.0,450.34
102,2020-11-10,15316.52,444.1
103,2020-11-09,15470.96,454.22
104,2020-11-08,14817.41,435.25
105,2020-11-07,15579.32,455.95
106,2020-11-06,15586.95,416.47
107,2020-11-05,14133.46,402.06
108,2020-11-04,14014.59,387.78
109,2020-11-03,13558.84,383.35
110,2020-11-02,13747.26,396.4
111,2020-11-01,13791.5,386.5
112,2020-10-31,13557.86,382.3
113,2020-10-30,13447.1,386.46
114,2020-10-29,13273.9,388.58
115,2020-10-28,13631.6,403.75
116,2020-10-27,13052.05,392.82
117,2020-10-26,13027.76,405.56
118,2020-10-25,13108.45,412.23
119,2020-10-24,12921.99,409.16
120,2020-10-23,12969.15,413.97
121,2020-10-22,12786.8,391.1
122,2020-10-21,11908.6,368.37
123,2020-10-20,11748.7,379.05
124,2020-10-19,11502.22,378.02
125,2020-10-18,11357.22,368.39
126,2020-10-17,11315.88,365.33
127,2020-10-16,11499.63,377.44
128,2020-10-15,11414.97,379.18
129,2020-10-14,11419.73,381.03
130,2020-10-13,11530.07,386.7
131,2020-10-12,11366.45,374.16
132,2020-10-11,11292.33,370.8
133,2020-10-10,11053.0,364.97
134,2020-10-09,10920.58,350.61
135,2020-10-08,10669.29,341.74
136,2020-10-07,10601.55,340.6
137,2020-10-06,10791.95,353.28
138,2020-10-05,10666.43,352.45
139,2020-10-04,10541.35,345.83
140,2020-10-03,10567.96,345.38
141,2020-10-02,10621.22,353.18
142,2020-10-01,10779.83,359.25
143,2020-09-30,10840.71,359.36
144,2020-09-29,10695.91,353.87
145,2020-09-28,10772.37,357.4
146,2020-09-27,10723.08,353.78
147,2020-09-26,10684.6,351.71
148,2020-09-25,10736.13,349.04
149,2020-09-24,10236.29,320.39
150,2020-09-23,10528.48,344.2
151,2020-09-22,10412.84,340.0
152,2020-09-21,10917.79,370.84
153,2020-09-20,11078.76,385.14
154,2020-09-19,10933.84,384.33
155,2020-09-18,10938.06,389.3
156,2020-09-17,10953.73,365.01
157,2020-09-16,10784.78,363.96
158,2020-09-15,10677.34,377.13
159,2020-09-14,10329.94,366.33
160,2020-09-13,10439.68,387.79
161,2020-09-12,10387.12,373.74
162,2020-09-11,10339.57,367.77
163,2020-09-10,10220.59,350.84
164,2020-09-09,10126.64,337.34
165,2020-09-08,10371.08,353.6
166,2020-09-07,10247.2,352.66
167,2020-09-06,10166.0,335.35
168,2020-09-05,10454.13,385.3
169,2020-09-04,10156.89,381.26
170,2020-09-03,11385.84,439.8
171,2020-09-02,11921.44,475.95
172,2020-09-01,11650.0,433.71
173,2020-08-31,11714.59,429.24
174,2020-08-30,11468.31,398.56
175,2020-08-29,11521.49,395.28
176,2020-08-28,11328.73,383.2
177,2020-08-27,11460.7,385.64
178,2020-08-26,11323.25,383.02
179,2020-08-25,11749.28,407.92
180,2020-08-24,11647.23,390.88
181,2020-08-23,11667.37,396.0
182,2020-08-22,11527.48,387.53
183,2020-08-21,11856.72,415.76
184,2020-08-20,11750.0,407.64
185,2020-08-19,11950.0,422.01
186,2020-08-18,12282.77,430.65
187,2020-08-17,11907.77,433.7
188,2020-08-16,11851.32,432.2
189,2020-08-15,11755.71,437.88
190,2020-08-14,11774.9,424.14
191,2020-08-13,11565.68,387.03
192,2020-08-12,11395.54,379.59
193,2020-08-11,11890.0,395.7
194,2020-08-10,11681.38,390.1
195,2020-08-09,11760.46,397.03
196,2020-08-08,11594.2,379.28
197,2020-08-07,11762.87,394.88
198,2020-08-06,11741.2,400.72
199,2020-08-05,11190.42,389.44
200,2020-08-04,11223.0,385.8
201,2020-08-03,11069.0,372.3
202,2020-08-02,11805.56,386.93
203,2020-08-01,11336.34,346.41
204,2020-07-31,11098.89,334.76
205,2020-07-30,11101.04,317.72
206,2020-07-29,10907.16,316.63
207,2020-07-28,11024.05,321.73
208,2020-07-27,9928.99,311.07
209,2020-07-26,9700.23,305.22
210,2020-07-25,9539.55,279.15
211,2020-07-24,9603.84,275.39
212,2020-07-23,9515.22,263.62
213,2020-07-22,9384.0,245.5
214,2020-07-21,9160.31,236.02
215,2020-07-20,9208.27,238.79
216,2020-07-19,9170.5,235.55
217,2020-07-18,9156.16,232.77
218,2020-07-17,9133.92,233.58
219,2020-07-16,9198.95,238.65
220,2020-07-15,9255.27,240.43
221,2020-07-14,9241.94,239.65
222,2020-07-13,9296.27,242.64
223,2020-07-12,9233.2,239.11
224,2020-07-11,9282.78,240.9
225,2020-07-10,9239.35,242.08
226,2020-07-09,9437.2,247.04
227,2020-07-08,9254.85,239.4
228,2020-07-07,9344.66,241.53
229,2020-07-06,9074.0,227.62
230,2020-07-05,9133.71,229.21
231,2020-07-04,9062.04,224.95
232,2020-07-03,9085.52,226.43
233,2020-07-02,9230.37,230.85
234,2020-07-01,9135.74,225.6
235,2020-06-30,9188.92,227.95
236,2020-06-29,9113.19,225.0
237,2020-06-28,9010.89,220.89
238,2020-06-27,9164.52,229.64
239,2020-06-26,9251.72,232.44
240,2020-06-25,9296.95,234.72
241,2020-06-24,9623.96,243.16
242,2020-06-23,9682.74,243.16
243,2020-06-22,9296.85,228.02
244,2020-06-21,9359.14,228.79
245,2020-06-20,9306.48,228.91
246,2020-06-19,9386.03,231.25
247,2020-06-18,9463.58,233.81
248,2020-06-17,9523.53,235.18
249,2020-06-16,9423.98,230.65
250,2020-06-15,9339.94,231.74
251,2020-06-14,9474.57,238.07
252,2020-06-13,9463.7,237.62
