DATE,BTC_OPEN,ETH_OPEN
2021-01-14 00:00:00,37369.23926061,1129.87146393
2021-01-13 00:00:00,34050.30209953,1050.31270224
2021-01-12 00:00:00,35410.2560474,1086.82758437
2021-01-11 00:00:00,38181.90417183,1254.0
2021-01-10 00:14:15,38181.90417183,1254.0
2021-01-10 00:00:00,40093.1140831,1276.154
2021-01-09 00:14:27,40091.1095605,1276.154
2021-01-09 00:00:00,40594.55489492,1216.62430693
2021-01-08 00:11:59,40600.0,1217.73312679
2021-01-08 00:00:00,39426.44616211,1224.94411381
2021-01-07 00:12:38,39430.38949774,1224.81149194
2021-01-07 00:00:00,36780.0,1207.60743892
2021-01-06 00:18:57,36755.11735713,1207.88026087
2021-01-06 00:00:00,33966.56513885,1099.88967836
2021-01-05 00:10:50,33945.29022519,1100.21671777
2021-01-05 00:00:00,32004.61557405,1040.98560762
2021-01-04 00:11:56,31996.26898457,1042.58766632
2021-01-04 00:00:00,33026.02548105,978.38188908
2021-01-03 00:14:35,33012.98211891,977.82
2021-01-03 00:00:00,32202.54738603,774.85061488
2021-01-02 00:12:32,32184.51293216,774.93193893
2021-01-02 00:00:00,29322.31736916,728.62418602
2021-01-01 00:12:07,29330.1358574,728.23197054
2021-01-01 00:00:00,28917.89607162,736.21270715
2020-12-31 00:09:52,28920.32546397,735.97318157
2020-12-31 00:00:00,28886.28043451,752.0209246
2020-12-30 00:15:23,28884.2542906,752.01221608
2020-12-30 00:00:00,27370.0,732.77237253
2020-12-29 00:12:45,27370.0,732.24565334
2020-12-29 00:00:00,27072.60328388,731.039644
2020-12-28 00:09:36,27076.17527942,730.50036136
2020-12-28 00:00:00,26288.7406343,685.35427691
2020-12-27 00:09:53,26289.03334552,684.69387755
2020-12-27 00:00:00,26457.13385456,637.75510204
2020-12-26 00:09:54,26449.61871594,636.3384648
2020-12-26 00:00:00,24712.36831942,626.9443052
2020-12-25 00:08:32,24690.60483472,626.70586918
2020-12-25 00:00:00,23750.23605009,612.5774913
2020-12-24 00:09:03,23738.86112821,612.43357726
2020-12-24 00:00:00,23235.17254393,585.32982303
2020-12-23 00:12:53,23235.17254393,585.89013233
2020-12-23 00:00:00,23810.9547165,636.69656424
2020-12-22 00:08:37,23808.33479931,636.98492048
2020-12-22 00:00:00,22727.08969218,608.92861828
2020-12-21 00:08:45,22713.8624183,608.0
2020-12-21 00:00:00,23466.39743281,637.78701324
2020-12-20 00:08:34,23488.58065789,638.39537087
2020-12-20 00:00:00,23827.49597088,658.1632653
