DATE,BTC_OPEN,ETH_OPEN
2020-11-30,18175.44,576.2
2020-11-29,17712.9,537.87
2020-11-28,17139.82,518.72
2020-11-27,17146.02,520.0
2020-11-26,18725.39,570.07
2020-11-25,19151.64,604.98
2020-11-24,18367.96,608.81
2020-11-23,18412.02,560.53
2020-11-22,18704.99,552.66
2020-11-21,18668.64,509.84
2020-11-20,17797.08,471.42
2020-11-19,17778.24,478.17
2020-11-18,17652.77,482.39
2020-11-17,16711.46,460.15
2020-11-16,15947.27,448.36
2020-11-15,16060.8,460.64
2020-11-14,16319.49,476.49
2020-11-13,16292.96,462.29
2020-11-12,15686.8,463.82
2020-11-11,15303.0,450.34
2020-11-10,15316.52,444.1
2020-11-09,15470.96,454.22
2020-11-08,14817.41,435.25
2020-11-07,15579.32,455.95
2020-11-06,15586.95,416.47
2020-11-05,14133.46,402.06
2020-11-04,14014.59,387.78
2020-11-03,13558.84,383.35
2020-11-02,13747.26,396.4
2020-11-01,13791.5,386.5
2020-10-31,13557.86,382.3
2020-10-30,13447.1,386.46
2020-10-29,13273.9,388.58
2020-10-28,13631.6,403.75
2020-10-27,13052.05,392.82
2020-10-26,13027.76,405.56
2020-10-25,13108.45,412.23
2020-10-24,12921.99,409.16
2020-10-23,12969.15,413.97
2020-10-22,12786.8,391.1
2020-10-21,11908.6,368.37
2020-10-20,11748.7,379.05
2020-10-19,11502.22,378.02
2020-10-18,11357.22,368.39
2020-10-17,11315.88,365.33
2020-10-16,11499.63,377.44
2020-10-15,11414.97,379.18
2020-10-14,11419.73,381.03
2020-10-13,11530.07,386.7
2020-10-12,11366.45,374.16
2020-10-11,11292.33,370.8
2020-10-10,11053.0,364.97
2020-10-09,10920.58,350.61
2020-10-08,10669.29,341.74
2020-10-07,10601.55,340.6
2020-10-06,10791.95,353.28
2020-10-05,10666.43,352.45
2020-10-04,10541.35,345.83
2020-10-03,10567.96,345.38
2020-10-02,10621.22,353.18
2020-10-01,10779.83,359.25
2020-09-30,10840.71,359.36
2020-09-29,10695.91,353.87
2020-09-28,10772.37,357.4
2020-09-27,10723.08,353.78
2020-09-26,10684.6,351.71
2020-09-25,10736.13,349.04
2020-09-24,10236.29,320.39
2020-09-23,10528.48,344.2
2020-09-22,10412.84,340.0
2020-09-21,10917.79,370.84
2020-09-20,11078.76,385.14
2020-09-19,10933.84,384.33
2020-09-18,10938.06,389.3
2020-09-17,10953.73,365.01
2020-09-16,10784.78,363.96
2020-09-15,10677.34,377.13
2020-09-14,10329.94,366.33
2020-09-13,10439.68,387.79
2020-09-12,10387.12,373.74
2020-09-11,10339.57,367.77
2020-09-10,10220.59,350.84
2020-09-09,10126.64,337.34
2020-09-08,10371.08,353.6
2020-09-07,10247.2,352.66
2020-09-06,10166.0,335.35
2020-09-05,10454.13,385.3
2020-09-04,10156.89,381.26
2020-09-03,11385.84,439.8
2020-09-02,11921.44,475.95
2020-09-01,11650.0,433.71
2020-08-31,11714.59,429.24
2020-08-30,11468.31,398.56
2020-08-29,11521.49,395.28
2020-08-28,11328.73,383.2
2020-08-27,11460.7,385.64
2020-08-26,11323.25,383.02
2020-08-25,11749.28,407.92
2020-08-24,11647.23,390.88
2020-08-23,11667.37,396.0
2020-08-22,11527.48,387.53
2020-08-21,11856.72,415.76
2020-08-20,11750.0,407.64
2020-08-19,11950.0,422.01
2020-08-18,12282.77,430.65
2020-08-17,11907.77,433.7
2020-08-16,11851.32,432.2
2020-08-15,11755.71,437.88
2020-08-14,11774.9,424.14
2020-08-13,11565.68,387.03
2020-08-12,11395.54,379.59
2020-08-11,11890.0,395.7
2020-08-10,11681.38,390.1
2020-08-09,11760.46,397.03
2020-08-08,11594.2,379.28
2020-08-07,11762.87,394.88
2020-08-06,11741.2,400.72
2020-08-05,11190.42,389.44
2020-08-04,11223.0,385.8
2020-08-03,11069.0,372.3
2020-08-02,11805.56,386.93
2020-08-01,11336.34,346.41
2020-07-31,11098.89,334.76
2020-07-30,11101.04,317.72
2020-07-29,10907.16,316.63
2020-07-28,11024.05,321.73
2020-07-27,9928.99,311.07
2020-07-26,9700.23,305.22
2020-07-25,9539.55,279.15
2020-07-24,9603.84,275.39
2020-07-23,9515.22,263.62
2020-07-22,9384.0,245.5
2020-07-21,9160.31,236.02
2020-07-20,9208.27,238.79
2020-07-19,9170.5,235.55
2020-07-18,9156.16,232.77
2020-07-17,9133.92,233.58
2020-07-16,9198.95,238.65
2020-07-15,9255.27,240.43
2020-07-14,9241.94,239.65
2020-07-13,9296.27,242.64
2020-07-12,9233.2,239.11
2020-07-11,9282.78,240.9
2020-07-10,9239.35,242.08
2020-07-09,9437.2,247.04
2020-07-08,9254.85,239.4
2020-07-07,9344.66,241.53
2020-07-06,9074.0,227.62
2020-07-05,9133.71,229.21
2020-07-04,9062.04,224.95
2020-07-03,9085.52,226.43
2020-07-02,9230.37,230.85
2020-07-01,9135.74,225.6
2020-06-30,9188.92,227.95
2020-06-29,9113.19,225.0
2020-06-28,9010.89,220.89
2020-06-27,9164.52,229.64
2020-06-26,9251.72,232.44
2020-06-25,9296.95,234.72
2020-06-24,9623.96,243.16
2020-06-23,9682.74,243.16
2020-06-22,9296.85,228.02
2020-06-21,9359.14,228.79
2020-06-20,9306.48,228.91
2020-06-19,9386.03,231.25
2020-06-18,9463.58,233.81
2020-06-17,9523.53,235.18
2020-06-16,9423.98,230.65
2020-06-15,9339.94,231.74
2020-06-14,9474.57,238.07
2020-06-13,9463.7,237.62
2020-06-12,9276.38,230.43
2020-06-11,9882.68,247.9
2020-06-10,9774.31,243.89
2020-06-09,9779.0,246.45
2020-06-08,9745.97,244.58
2020-06-07,9673.85,241.99
2020-06-06,9622.72,240.16
2020-06-05,9794.77,243.3
2020-06-04,9667.14,244.52
2020-06-03,9524.0,237.78
2020-06-02,10179.33,247.81
2020-06-01,9452.05,231.68
2020-05-31,9695.06,243.57
2020-05-30,9418.95,220.55
2020-05-29,9575.0,220.36
2020-05-28,9200.77,208.26
2020-05-27,8844.25,200.99
2020-05-26,8898.7,204.07
2020-05-25,8719.15,199.63
2020-05-24,9180.26,206.64
2020-05-23,9167.65,207.27
2020-05-22,9068.43,198.71
2020-05-21,9511.35,209.87
2020-05-20,9771.42,214.5
2020-05-19,9733.08,214.87
2020-05-18,9676.36,207.06
2020-05-17,9379.48,200.46
2020-05-16,9318.18,194.81
2020-05-15,9792.07,203.13
2020-05-14,9305.0,199.61
2020-05-13,8814.02,189.85
2020-05-12,8559.79,185.67
2020-05-11,8727.85,187.59
2020-05-10,9541.84,210.17
2020-05-09,9801.29,211.45
2020-05-08,9978.85,211.8
2020-05-07,9150.85,199.08
2020-05-06,9021.23,205.35
2020-05-05,8870.71,206.59
2020-05-04,8891.75,209.81
2020-05-03,8971.71,213.7
2020-05-02,8822.75,212.07
2020-05-01,8624.96,206.35
2020-04-30,8777.19,215.35
2020-04-29,7741.74,196.37
2020-04-28,7773.24,196.43
2020-04-27,7694.63,197.52
2020-04-26,7538.72,194.29
2020-04-25,7502.9,187.45
2020-04-24,7553.06,188.8
2020-04-23,7124.34,182.7
2020-04-22,6842.94,170.72
2020-04-21,6829.13,170.35
2020-04-20,7122.58,180.02
2020-04-19,7249.38,187.43
2020-04-18,7027.97,170.7
2020-04-17,7102.97,172.28
2020-04-16,6621.15,152.88
2020-04-15,6868.27,158.46
2020-04-14,6837.44,156.36
2020-04-13,6902.93,158.41
2020-04-12,6877.57,158.35
2020-04-11,6860.68,157.88
2020-04-10,7285.29,169.73
2020-04-09,7359.4,172.95
2020-04-08,7201.54,164.65
2020-04-07,7332.38,171.21
2020-04-06,6770.83,142.61
2020-04-05,6859.08,144.13
2020-04-04,6737.35,141.37
2020-04-03,6793.96,141.4
2020-04-02,6644.0,135.68
2020-04-01,6410.98,132.87
2020-03-31,6393.92,132.06
2020-03-30,5879.98,124.5
2020-03-29,6236.91,130.99
2020-03-28,6364.22,131.38
2020-03-27,6736.74,138.51
2020-03-26,6680.56,136.0
2020-03-25,6747.41,138.48
2020-03-24,6470.6,135.96
2020-03-23,5826.41,122.45
2020-03-22,6186.69,132.53
2020-03-21,6208.75,133.31
2020-03-20,6166.85,136.66
2020-03-19,5390.16,118.13
2020-03-18,5317.99,115.54
2020-03-17,5023.98,110.98
2020-03-16,5364.3,123.86
2020-03-15,5186.35,122.58
2020-03-14,5570.05,134.0
2020-03-13,4791.03,108.15
2020-03-12,7933.54,194.51
2020-03-11,7891.26,200.55
2020-03-10,7930.3,202.9
2020-03-09,8032.02,198.65
2020-03-08,8891.52,237.25
2020-03-07,9132.39,244.88
2020-03-06,9056.83,228.54
2020-03-05,8752.17,224.34
2020-03-04,8753.6,223.84
